Dataset Name,Archive Type,Proxy Type,Minimum Year,Maximum Year,Latitude,Longitude,DOI
OCE326GGC26,marine sediment,alkenone,-9880,1850,43.0,-55.0,10.1029/2006GL028495
Njakajaure.Bigler.2006,lake sediment,diatom,-6905,1839,68.33,18.78,10.1007/s00334-006-0054-x
MD982181,marine sediment,Mg/Ca,-9709,1947.4,6.3,125.8,10.1126/science.1143791
74KL_TEX86.Huguet.2006,marine sediment,alkenone,-12850,1750,14.3,57.3,10.1029/2005PA001215
Nautajarvi.Sepp.2009,lake sediment,pollen,-7048,1899,61.8,24.7,10.5194/cp-5-523-2009
HU90.deVernal.2013,marine sediment,dinocyst,-9968.6,588.5,58.2098,-48.3733,10.1016/j.quascirev.2013.07.006
GreatBasin.Salzer.2013,tree,TRW,-2574,2006,38.0,-116.5,10.1007/s00382-013-1911-9
HU84.deVernal.2013,marine sediment,dinocyst,-6346.5,-18.1,58.3677,-57.507,10.1016/j.quascirev.2013.07.006
BJ8_13GGC,marine sediment,Mg/Ca,-8606.54,1780.82,-7.4,115.2,10.1038/ngeo920
POS362-2_33.Blanchet.2014,marine sediment,alkenone,-7600,1950,31.6932,29.7508,10.1371/journal.pone.0115958
MD972120,marine sediment,alkenone,-10837,-1,-45.5,174.9,10.1029/2005PA001191
MD952011,marine sediment,alkenone,-6540,1430,67.0,7.6,10.1016/S0277-3791(01)00096-8
jake..2005,lake sediment,pollen,-6131.666314,1991,63.667,-65.152,10.1016/j.quascirev.2004.06.021
PC2.Seki.2004,marine sediment,alkenone,-8160,1900,50.395,148.323,10.1029/2002PA000808
AgassizRenland.Vinther.2009,ice,d18O,-9700,1960,75.985,-49.915,10.1038/nature08355
Chatsworth.Shuman.2016,peat,pollen,-9050,1150,40.68,-88.34,10.1016/j.quascirev.2016.03.009
Kotokel.Tarasov.2009,lake sediment,pollen,-13127.7,1950,52.7928,108.1244,10.5194/cp-5-285-2009
Hinterburgsee.Heiri.2003,lake sediment,chironomid,-10951,1990.9,46.7186,8.0686,10.1191/0959683603hl640ft
JM01-1199.Hald.2007,marine sediment,foraminifera,-11404.93089,2000.1,71.99,14.36,10.1016/j.quascirev.2007.10.005
MD952043,marine sediment,alkenone,-12739.231,868.2,36.1,-2.6,10.1029/2000PA000502
GeoB3910.Jaeschke.2007,marine sediment,alkenone,-12980,640,-4.2,-36.3,10.1029/2006PA001391
BloodPond.Marsicek.2013T,lake sediment,pollen,-9050,1950,42.08,-71.962,10.1016/j.quascirev.2013.09.001
UpperFlyLake.Balascio.2008,lake sediment,pollen,-11378.8,1950,61.07,-138.09,10.1016/j.quascirev.2008.10.007
TroutLake.Irvine.2012,lake sediment,chironomid,-13474.5,1887,68.828,-138.75,10.1007/s10933-012-9612-7
MD99-2227..2013,marine sediment,dinocyst,-9882,1196.61,58.2107,-48.373,10.1016/j.quascirev.2013.07.006
M39008.Cacho.2001,lake sediment,alkenone,-12722.255,492.5,36.38,-7.1,10.1029/2000PA000502
CarletonLake.Upiter.2014,lake sediment,chironomid,-4014.2,2003.9,64.2572,-110.1008,10.1007/s10933-014-9775-5
MD97-2151.Yamamoto.2013,marine sediment,TEX86,-152572,995,8.728,109.869,10.1038/ngeo2763
MD97-2151.Yamamoto.2013,marine sediment,alkenone,-152572,995,8.728,109.869,10.1038/ngeo2763
liltlvatn..2009,lake sediment,pollen,-6829.86,1995,68.5167,14.8667,10.5194/cp-5-523-2009
V1928,marine sediment,d18O,-26540,60,2.37,-84.65,10.1029/2003PA000894
MSM055_723-2.Werner.2015,marine sediment,foraminifera,-10066,2009,79.161,5.3378,10.1016/j.quascirev.2015.09.007
MD01-2444.Martrat.2007,marine sediment,alkenone,-418050,1890,37.565,-10.134,10.1126/science.1139994
MD99-2256.Jennings.2015,marine sediment,foraminifera,-10449,1768.78,64.3032,-24.2067,10.1016/j.quascirev.2014.10.022
Turkana.Berke.2012,lake sediment,TEX86,-4072.916,856.401,2.7125,36.537,Empty
JM96-1207.Messager.2013,marine sediment,dinocyst,-8639,1493.07,68.1,-29.35,10.1029/2005PA001175
